id,type,name,latitude,longitude,forest_type,fee,opening_hours,address,tel,state,attractions,url,imageUrl
1,Jungle Ecological Park,Bukit Ayer Forest Eco Park,6.5462,100.1668,Hill Dipterocarp Forest,Admission | Citizens | Adults : RM 2.00 | Children (6 - 17 years old) : RM 1.00 | Children (under 6 years old) : FREE | People with Disabilities (OKU) : FREE | Non-citizens | Adults : RM 5.00 | Children (6 - 17 years old) : RM 1.00 | Children (under 6 years old) : FREE | People with Disabilities (OKU) : FREE,Open daily from 9.00 am to 6.00 pm,"Jabatan Perhutanan Negeri Perlis,Km 2 Jalan Kaki Bukit, 01000 Kangar, Perlis",04-9765 966,Perlis,"River, Waterfall, Wildlife, Bird Watching",https://www.forestry.gov.my/en/perlis/taman-eko-rimba-bukit-ayer,https://www.forestry.gov.my/media/zoo/images/bukitayer_1bd2e764e182d8b4d68f06bcaf760b42.jpg
2,Jungle Ecological Park,Tasik Meranti Forest Eco park,6.6479,100.1796,Half of autumn forest,FREE admission,Open daily from 7.00 am to 6.00 pm,"Jabatan Perhutanan Negeri Perlis,Km 2 Jalan Kaki Bukit, 01000 Kangar, Perlis",04-9765 966,Perlis,"Bird Watching, Wildlife, Lake, River",https://www.forestry.gov.my/en/perlis/taman-eko-rimba-tasik-meranti,https://www.forestry.gov.my/media/zoo/images/tasikmeranti_27815341db6c82df856f6ae1e6cd72a9.jpg
3,Jungle Ecological Park,Lata Bayu Forest Eco Park,5.7151,100.8103,Hill Dipterocarp Forest,FREE admission,Open daily from 7.00 am to 6.00 pm,"Pejabat Hutan Daerah Kedah Selatan, 09000 Kulim, Kedah",04-4903 760,Kedah,"River, Waterfall, Wildlife",https://www.forestry.gov.my/en/kedah/taman-eko-rimba-lata-bayu,https://www.forestry.gov.my/media/zoo/images/LataBayu_021380aaef1bc585a1a8ad1b25c91d64.jpg
4,Jungle Ecological Park,Sungai Rambai Forest Eco Park,6.3195,100.4803,Lowland dipterocarp forest,FREE admission,Open daily from 7.00 am to 6.00 pm,"Pejabat Hutan Daerah Kedah Tengah, 08000 Sg. Petani, Kedah",04-4212 835,Kedah,"River, Wildlife",https://www.forestry.gov.my/en/kedah/taman-eko-rimba-sungai-rambai,https://www.forestry.gov.my/media/zoo/images/SungaiRambai_bb3cb4141033155da4541e2731f81ba2.jpg
5,Jungle Ecological Park,Sungai Sedim Forest Eco Park,5.4071,100.66146,Lowland dipterocarp forest,FREE admission,Open daily from 7.00 am to 6.00 pm,"Pejabat Hutan Daerah Kedah Selatan, 09000 Kulim, Kedah",04-4903 760,Kedah,"River, Waterfall, Wildlife, Bird Watching",https://www.forestry.gov.my/en/kedah/taman-eko-rimba-sungai-sedim,https://www.forestry.gov.my/media/zoo/images/SungaiSedim_8ab05a6ac70da3a4684a7808ac1dfc0a.jpg
6,Jungle Ecological Park,Sungai Teroi Eco Park,5.80822,100.4337,Hill Dipterocarp Forest,FREE admission,Open daily from 7.00 am to 6.00 pm,"Pejabat Hutan Daerah Kedah Tengah, 08000 Sg. Petani, Kedah",04-4212 835,Kedah,"River, Wildlife",https://www.forestry.gov.my/en/kedah/taman-eko-rimba-sungai-teroi,https://www.forestry.gov.my/media/zoo/images/SungaiTeroi_98fb19db4454478fb413efc4ae459407.JPG
7,Jungle Ecological Park,Bukit Mertajam Forest Eco Park,5.3579,100.4932,Lowland Dipterocarp Forest and Hill Dipterocarp Forest,Admission : RM 5.00,Open daily from 7.00 am to 6.00 pm,"Jabatan Perhutanan Negeri, Pulau Pinang, Tingkat 20, Menara KOMTAR, 10300 Pulau Pinang.",04-6505 250,Pulau Pinang,"River, Wildlife, Bird Watching",https://www.forestry.gov.my/en/pulau-pinang/taman-eko-rimba-bukit-mertajam,https://www.forestry.gov.my/media/zoo/images/bukitmertajam_dc6f22497f219ba66a190f9f22049f5a.jpg
8,Jungle Ecological Park,Telok Bahang Forest Eco Park,5.4463,100.2179,Lowland Dipterocarp Forest and Hill Dipterocarp Forest,Admission : RM 5.00,Open daily from 7.00 am to 6.00 pm,"Jabatan Perhutanan Negeri, Pulau Pinang, Tingkat 20, Menara KOMTAR, 10300 Pulau Pinang.",04-6505 250,Pulau Pinang,"River, Wildlife",https://www.forestry.gov.my/en/pulau-pinang/taman-eko-rimba-telok-bahang,https://www.forestry.gov.my/media/zoo/images/telukbahang_4c7bd2daab22eb9cbd0a5ca4bb595e3d.jpg
9,Jungle Ecological Park,Kaki Bukit Larut Forest Eco Park,4.8618,100.761,Hill Dipterocarp Forest,Free admission,Open daily from 8.00 am to 6.00 pm,"Pejabat Hutan Daerah Larut & Matang, 34000 Taiping, Perak.",05-8072 672,Perak,"Wildlife, Bird Watching",https://www.forestry.gov.my/en/perak/taman-eko-rimba-kaki-bukit-larut,https://www.forestry.gov.my/media/zoo/images/bukitlarut2_26169fd5c541272c6e20021175e1ec23.jpg
10,Jungle Ecological Park,Papan Forest Eco Park,4.5383,100.5783,Hill Dipterocarp Forest,Admission | Children below 6 years old - FREE | Children (below 18 years old) RM 1.00 | Adults (18 years old and above) - RM 2.00 | Senior Citizen (60 years old and above / Disabled People) - FREE | Non-citizens - RM 5.00,Open daily from 8.00 am to 6.00 pm,"Pejabat Hutan Daerah Kinta/ Manjung, Jalan Bemban, 31000 Batu Gajah, Perak",05-3661 228,Perak,"River, Bird Watching",https://www.forestry.gov.my/en/perak/taman-eko-rimba-papan,https://www.forestry.gov.my/media/zoo/images/papan2_1aa42ac7fa2c7c639ce214ee486f2387.jpg
11,Jungle Ecological Park,Matang Mangrove Forest Eco-Education Center,4.8402,100.6356,Mangrove Swamp Forest,Admission | Children below 6 years old - FREE | Children (below 18 years old) RM 2.00 | Adults (18 years old and above) - RM 5.00 | Senior Citizen (60 years old and above / Disabled People) - FREE | Non-citizens - RM 15.00,Open daily from 8.00 am to 6.00 pm,"Pejabat Hutan Daerah Larut & Matang, 34000 Taiping, Perak",05-8072 672,Perak,Wildlife,https://www.forestry.gov.my/en/perak/pusat-eko-pelajaran-hutan-paya-laut-matang,https://www.forestry.gov.my/media/zoo/images/lautmatang_7a040224d00927b5b2582a596eeed123.jpg
12,Jungle Ecological Park,Kledang Saiong Forest Eco Park,4.683,100.0676,Dipterocarp Forest,Admission | Children below 6 years old - FREE | Children (below 18 years old) RM 1.00 | Adults (18 years old and above) - RM 2.00 | Senior Citizen (60 years old and above / Disabled People) - FREE | Non-citizens - RM 5.00,Open daily from 8.00 am to 6.00 pm,"Pejabat Hutan Daerah Kinta/ Manjung, Jalan Bemban, 31000 Batu Gajah, Perak",05-3661 228,Perak,"River, Wildlife, Bird Watching",https://www.forestry.gov.my/en/perak/taman-eko-rimba-kledang-saiong,https://www.forestry.gov.my/media/zoo/images/kledang_2909a594ab4b66a6f8319160c011a7e8.jpg
