id,type,name,location,state
1,Jungle Ecological Park ,Bukit Ayer Forest Eco Park,"WGS 84 : N6.5462° , E 100.1668°",Perlis
2,"Jungle Ecological Park
",Tasik Meranti Forest Eco park,"WGS 84 : N6.6479° , E 100.1796°",Perlis
3,"Jungle Ecological Park
",Lata Bayu Forest Eco Park,"WGS 84 : N5.7151° , E100.8103°",Kedah
4,Jungle Ecological Park,"Sungai Rambai Forest Eco Park
","WGS 84 : N6.3195° , E100.4803°",Kedah
5,Jungle Ecological Park,"Sungai Sedim Forest Eco Park
","WGS 84 : N5.4071º , E100.66146º",Kedah
6,Jungle Ecological Park,"Sungai Teroi Eco Park
","WGS 84 : N5.80822° , E100.43370°",Kedah
7,Jungle Ecological Park,Bukit Mertajam Forest Eco Park,"WGS 84 : N5.3579° , E 100.4932°",Pulau Pinang
8,Jungle Ecological Park,Telok Bahang Forest Eco Park,"WGS 84 : N5.4463° , E 100.2179°",Pulau Pinang
9,Jungle Ecological Park,"Kaki Bukit Larut Forest Eco Park
","WGS 84 : N4.8618° , E100.7610°",Perak
10,Jungle Ecological Park,"Papan Forest Eco Park
","WGS 84 : N4.5383° , E100.5783°",Perak
11,Jungle Ecological Park,"Matang Mangrove Forest Eco-Education Center
","WGS 84 : N4.8402° , E 100.6356°",Perak
12,Jungle Ecological Park,"Kledang Saiong Forest Eco Park
","WGS 84 : N4.6830° , E100.0676°",Perak
13,Jungle Ecological Park,"Kuala Woh Forest Eco Park
","WGS 84 : N4.2434° , E101.3227°",Perak
14,Jungle Ecological Park,"Pasir Panjang Forest Eco Park
","WGS 84 : N4.3584° , E 100.5783°",Perak
15,Jungle Ecological Park,"Lata Kekabu Forest Eco park
","WGS 84 : N5.0506° , E 100.9443°",Perak
16,Jungle Ecological Park,"Ulu Kenas Forest Eco Park
","WGS 84 : N4.6894° , E 100.8860°",Perak
17,Jungle Ecological Park,"Pulau Tali Kail Forest Eco Park
","WGS 84 : N5.4975° , E101.3459°",Perak
18,Jungle Ecological Park,"Lata Kinjang Forest Eco Park
","WGS 84 : N4.3003° , E101.2545°",Perak
19,Jungle Ecological Park,"Ulu Licin Forest Eco Park
","WGS 84 : N4.5379° , E 100.7783°",Perak
20,Jungle Ecological Park,"Bukit Bakar Forest Eco Park
","WGS 84: N5.7182° , E102.2598°",Kelantan
21,Jungle Ecological Park,"Jeram Linang Forest Eco Park
","WGS 84 : N5.7431° , E102.3738°",Kelantan
22,Jungle Ecological Park,"Air Menderu Forest Eco park
","WGS 84 : N4.4831° , E 103.3871°",Terengganu
